"customer_message","support_response"
"My saree arrived broken.","Hi! So sorry about the damaged wall clock. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to cancel order CK571029.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Refund status for order CK539898?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your wall clock. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged power bank. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"What's the delivery time to Delhi?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bedsheet set. — Team NovaCart 💙"
"I entered the wrong address for order CK717889.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"When will my order reach Lucknow?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this sunglasses?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"I want to cancel order CK133326.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"What's the shipping fee?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"Is delivery free on all orders?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"How do I reset my password?","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"Order status please for CK331148.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Can I exchange my phone case for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"It's been a few days, where's my package?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"I entered the wrong address for order CK850800.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged running shoes. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to cancel order CK126225.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Need to change where my headphones is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Received a faulty table lamp, please help.","Hi! So sorry about the damaged bedsheet set. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Is there any fee for cash on delivery?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"I want to return order CK377370.","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"What's the delivery time to Kolkata?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your kitchen mixer. — Team NovaCart 💙"
"It's been 10 days, can I still return this wall clock?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"Do you support net banking?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"Is there any fee for cash on delivery?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"Can I cancel my yoga mat before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Can I pay cash when my order arrives?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"How do I return my order?","Hi! Our return window is 7 days from delivery. To return your saree:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"When will my order reach Pune?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Can I do cash on delivery for ₹70,000?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"Can I use COD for my wireless earbuds order?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"I want to cancel order CK895667.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Can I exchange my bluetooth speaker for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"What is your return policy?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"My account is locked.","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"Refund please, I ordered a month ago.","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"Order CK946335 came with a cracked item.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"It's been a few days, where's my package?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Order CK197251 came with a cracked item.","Hi! So sorry about the damaged yoga mat. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"My account is locked.","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this kitchen mixer?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"Can I cancel my kitchen mixer before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"It's been 10 days, can I still return this cotton kurta?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"When will my backpack be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your sneakers. — Team NovaCart 💙"
"It's been 10 days, can I still return this running shoes?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"I entered the wrong address for order CK334053.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"When will my running shoes be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"I returned my winter jacket, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Do you have cash on delivery option?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"I returned my headphones, where's my money?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"I want to return my kitchen mixer.","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Order CK688508 came with a cracked item.","Hi! So sorry about the damaged wristwatch. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"What's the delivery time to Ahmedabad?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹450 order?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"Do you accept cash on delivery?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"I returned my saree, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Can I see my delivery status?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"When will my order reach Chennai?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How do I track my power bank?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"What's the delivery time to Pune?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bluetooth speaker. — Team NovaCart 💙"
"I want to cancel order CK733052.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"What's the shipping fee?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"My order CK542417 hasn't arrived yet.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Order status please for CK900581.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"How many days for refund to credit?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Steps to return a product?","Hi! Our return window is 7 days from delivery. To return your sunglasses:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"How can I pay for my order?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"Is wallet payment available?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"Where is my order?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Is there a cash on delivery facility?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Refund status for order CK197251?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"I want to return order CK895667.","Hi! Our return window is 7 days from delivery. To return your phone case:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I received a damaged product.","Hi! So sorry about the damaged cotton kurta. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I entered the wrong address for order CK456778.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can you help me?","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"How do I update the shipping address?","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I want to return order CK198246.","Hi! Our return window is 7 days from delivery. To return your cotton kurta:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Order status please for CK539898.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How much is delivery charge?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"Where is my order?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Refund status for order CK809570?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your backpack. — Team NovaCart 💙"
"Received a faulty bluetooth speaker, please help.","Hi! So sorry about the damaged wristwatch. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I'm not receiving the OTP.","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"What's the delivery time to Delhi?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Good morning","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"How long does a refund take?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Hi","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"When will my order reach Jaipur?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"My package showed up damaged.","Hi! So sorry about the damaged power bank. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"My order CK543143 hasn't arrived yet.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"My order CK207473 hasn't arrived yet.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Can I exchange my bedsheet set for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"I entered the wrong address for order CK391704.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"When will my sneakers be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"My package showed up damaged.","Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Can I return this item?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Is anyone there?","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"What's the COD limit?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"I entered the wrong address for order CK460663.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Good morning","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"What's the COD limit?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"When will my water bottle be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your water bottle. — Team NovaCart 💙"
"Can I do COD for an order worth ₹80000?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
